wals_code,31A,118A,30A,119A,29A,85A,28A,32A,83A,86A,40A,39A,10A,47A,73A,121A,18A,21A,84A,57A,89A,9A,90A,63A,61A,66A,79A,42A,99A,44A,87A,13A,125A,111A,50A,69A,51A,98A,127A,54A,94A,122A,7A,88A,93A,62A,26A,129A,33A,80A,48A,49A,53A,55A,6A,123A,104A,25A,27A,65A,109A,46A,117A,100A,
lez,1,2,1,1,1,1,3,1,1,1,1,3,2,1,1,1,1,1,,4,1,3,2,1,4,1,3,3,4,6,1,1,3,2,6,2,1,4,2,2,4,4,2,1,2,1,2,1,2,1,2,8,4,1,4,4,1,2,3,1,8,1,2,1,
kmk,,,,,,1,,,1,1,,,,,2,,,,,2,,2,2,,,,,,,,1,,,2,,2,1,,,,,,,,2,,2,1,2,,,,4,,,,,,,,,,,,
haw,1,,1,,,2,,1,2,2,,,,,,,3,,,4,1,,1,,,4,,1,,,2,1,,2,,,9,,,3,1,,1,1,2,,1,1,7,,,,5,1,1,,,,1,1,,,,,
kin,,,,,,2,,,2,,,,,2,2,,,,1,,2,,,,,,,,,,2,,,2,1,1,7,,,,,4,,1,2,,,,,,,1,,,,,,,,,,,,,
cri,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,4,,2,
tng,,1,,1,,2,,,2,2,,,,,,,,,,4,2,,1,,,,,2,,,2,,,2,,5,9,,,3,1,,,2,2,,1,,7,,,,,2,,,,,1,,,,,,
kbl,,3,,1,,2,,,2,2,,,,,,1,,,1,,,,1,,,,,2,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,
shn,3,3,5,2,,2,,3,2,2,,,,2,2,2,,,,,2,,1,2,,,,,,,2,,,2,,1,,,,,1,,,2,2,,6,1,1,,,,6,,,,,,,,,,4,,
pap,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,
tpi,,1,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,4,,,,,,,2,,,,,
lao,,1,,1,,2,,,2,2,,,,,,,,,,4,2,,1,,,4,,,,,2,,,,,5,9,,,,1,,,2,2,,1,2,9,,,,,,,,,,,2,,,,,
lak,2,,4,,2,1,2,2,1,,3,3,2,,,,1,,,,,3,,,,,,,1,6,1,1,,,2,,1,4,,2,,,2,,,1,,,,,2,8,,,4,,1,,,,8,1,,3,
wlf,,1,,1,,2,,,2,2,,,2,1,,2,1,,1,2,1,,1,2,,1,,,,,2,1,,,,5,9,,,,1,,1,2,1,,1,,6,,,,6,,1,,,,2,2,3,,,,
ava,,2,,2,,1,,,1,1,,,,,1,,1,,,,1,,,1,2,,,,,,1,1,,,,2,1,,,,,,2,1,2,1,2,,2,,,,4,1,4,,,,,,,,2,,
sra,,1,,1,,,,,,,,,,,,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
tah,,3,,1,,2,,,2,3,,,,,,,,,,,3,,1,2,,1,,,,,2,,,2,,5,9,,,,1,,,1,2,,1,1,7,,,,6,,,,,,,1,,,2,,
kon,3,,5,,2,2,1,3,2,2,3,3,2,,2,,,,,4,2,,,,,,,,1,2,2,,,2,1,4,9,1,,2,,,,2,,,6,1,1,,2,1,,,,,2,,,,,,,2,
nau,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,6,,,,,,,,,,3,,,,,1,,,,,,
igb,1,3,1,1,1,2,1,1,2,2,1,3,2,,2,2,1,,1,4,2,1,1,1,,,4,,3,6,2,2,3,2,1,2,,3,3,,1,,1,2,2,,,1,6,1,2,1,6,1,1,,1,,1,,3,,5,1,
kkp,,,,,,1,,,1,1,,,,,,,,,,2,1,2,2,,,,,,,,1,,,,,2,1,,,,,,,1,2,,2,,2,,,,,,,,,,,,,3,,,
zul,3,3,5,2,2,2,1,3,2,2,3,3,2,2,2,2,1,5,,,,,1,2,2,2,4,,1,2,2,2,3,2,1,1,2,1,3,,1,4,5,6,2,,6,2,1,1,2,1,6,1,1,,2,5,2,1,3,,4,2,
cyn,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,
tsw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,
che,,3,,1,,1,,,1,1,,,,,,,1,,6,1,1,,2,,,,,,,,1,2,,,,2,,,,,,,1,1,1,,5,2,1,,,,,,1,,,,,,,,,,
bsm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,
sam,,1,,1,,2,,,2,2,,,,,,3,,,,4,3,,1,2,,,4,1,,6,2,,,2,,1,9,,,3,1,,,6,2,5,1,1,7,3,2,,3,2,,,1,,1,,,2,1,1,
bam,,3,,1,1,1,1,,1,1,1,3,,,2,,1,,5,,2,1,4,1,,,,,1,6,2,2,,2,1,2,,1,,,,2,1,6,,4,2,1,2,,2,1,6,,1,2,1,,,,,2,1,1,
swt,,,,,,,,,2,2,,,,,,,,,,,3,,1,,,,,,,,3,,,2,,,,,,,1,,,1,,,,,,,,,,1,,,,,1,,,,,,
sdh,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,1,,,,,,,,2,,,3,,,,,,,,,,,,1,,,,,,,,,,
kik,,,,,,2,,,2,2,,,,,,,,,,4,,,1,,,2,,,,,2,,,,,4,,,,,1,,,2,2,,6,,1,,,,,,,,,,1,1,,,,,
ewe,1,3,1,1,2,1,1,1,2,1,1,3,,2,2,,1,,,2,2,1,1,2,,4,1,,1,6,2,2,,1,1,,9,1,1,,1,,1,2,2,7,4,,8,1,3,1,6,,1,,2,5,1,2,8,2,1,2,
tuv,,,,,,1,,,1,1,,,,,2,1,1,,,2,,2,,,,,,,,,1,1,,,,2,1,,,2,,,1,1,,2,2,,2,,,,4,1,1,,,,1,,,1,,,
hau,2,2,2,1,1,2,4,3,2,2,1,3,2,,2,2,1,5,1,2,2,3,1,2,,4,4,1,1,1,1,2,3,2,1,5,9,1,1,2,1,4,5,6,3,7,1,1,2,1,3,1,6,1,1,3,1,5,1,2,3,2,4,1,
fij,1,1,1,1,1,2,2,1,2,2,1,5,2,2,2,,1,5,6,2,1,1,1,2,,1,4,1,,6,2,1,1,2,1,5,9,1,1,3,1,4,1,2,2,,1,2,,1,4,1,6,1,1,,2,1,2,2,7,,1,2,
tig,,,,,,2,,,1,3,,,,,,,,,,2,,,,,,1,,,,,1,,,,,,7,,,,,,,1,1,,,,2,,,,,,,,,,1,2,,,,,
tsn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
kas,2,,2,,,1,,3,2,1,,,,1,2,1,1,,1,,1,,7,,,,,1,,2,1,1,3,2,4,,,,2,2,,,1,1,2,,,2,,,2,4,5,,1,,2,,,,8,3,,6,
san,1,,1,,3,2,1,1,2,2,1,3,1,,,,1,5,1,4,2,3,1,2,,4,4,,1,6,1,2,,,1,5,9,1,1,,1,4,3,2,2,2,6,,1,1,2,1,,,1,,1,5,,2,8,2,4,1,
ven,,,,,,,,,2,,,,,2,,,,,,,2,,,,,,,,,,2,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
ses,,,,,,2,,,2,2,,,,,,,,,1,,,,1,,2,2,4,,,,2,,,,,,,,,,,,,2,,,,,,1,,,6,1,,,,,1,1,,,,,
akn,,3,,1,,4,,,2,1,,,,,,,1,,,1,2,,,2,,4,,,,,2,2,2,,,1,9,,2,2,5,,1,2,2,,6,,6,,,,,,1,,,,1,1,,,3,,
lda,,3,,2,,2,,,,2,,,,,,,,,,2,2,,1,2,,2,,,,,2,,,,,1,7,,,,1,,,2,2,,6,,1,,,,,1,,,,,,2,,,4,,
cic,3,,5,,,2,,3,2,2,,,,,,2,,,1,,2,,1,,,,,,,,2,,,,,1,,,,,1,,,2,2,,6,,1,,,,,,,,,,,,3,2,,,
cha,1,1,1,1,3,2,1,1,2,2,1,5,2,1,2,,1,5,,2,1,1,1,2,2,4,1,1,4,6,1,1,,2,1,,,1,1,7,1,4,1,1,3,5,1,1,7,1,3,1,6,1,1,4,1,5,1,1,1,,,3,
xho,,,,,,2,,,2,2,,,,,,,,,,4,2,,1,,,,,,,,2,,,,,4,2,,,,,,,6,2,,6,,1,,,,,,,,,,1,,,,,,
ndo,,,,,,2,,,2,2,,,,,,,,,,2,2,,1,,,,,,,2,2,,,2,,2,2,,,,1,,,2,2,,4,,1,,2,,,,,,2,,,,,,,2,
cct,,1,,1,,1,,,1,1,,,,,,,,,3,1,2,3,3,1,,,,,,,4,,,2,,2,6,,,,4,,,2,2,,4,2,9,,,,,1,,,,,1,,,,3,,
msh,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,7,,,,,,,,1,,,,,4,,,,,,1,,,2,,,
knr,1,3,1,1,3,1,1,1,1,2,3,3,2,,2,1,1,,4,2,2,1,1,2,2,1,1,,2,6,2,2,3,2,4,2,6,2,1,,5,,1,2,1,6,2,1,2,1,2,6,5,1,1,,4,5,1,1,3,,4,2,
her,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,
mnd,1,1,1,1,1,4,1,1,2,1,1,5,2,1,2,2,1,1,2,4,1,2,2,2,6,4,4,1,1,3,1,3,1,3,1,2,9,1,1,1,,4,1,1,2,8,2,2,2,1,2,1,4,3,3,4,1,2,1,1,8,4,3,1,
nor,,,,,,2,,,2,3,,,,1,2,,1,,,4,1,,1,,,,,,,,1,2,,,,2,1,,,,1,,1,1,1,,2,2,2,,,,7,,1,,,,,,,,,,
amr,,2,,2,,2,,,2,2,,,,,2,1,,,,2,1,3,1,,2,,4,,,,2,,,,,4,9,,,,1,,,1,,,3,1,6,1,,,7,1,,,,,,,,,,,
ams,,,,,,2,,,2,2,,,,,,1,,,1,2,1,,,,,,,,,,2,,,,,,1,,,,1,,,1,,,2,,,,,,,,,,,,,,,,,,
heb,2,2,2,2,2,2,1,3,2,2,3,3,2,1,2,1,,5,,2,1,3,1,1,2,1,1,1,2,1,2,,2,2,1,4,7,2,1,1,1,4,,2,1,6,3,2,2,1,3,1,6,1,,3,1,5,1,2,8,1,1,2,
slo,,,,,,2,,,2,3,,,,,2,,,,,,1,,,,,,3,,,,1,,,,,,1,,,,,,,1,,,2,,2,1,,,7,,,,,,,,,,,,
arm,1,2,1,2,3,1,3,1,3,1,3,3,2,1,2,,1,,6,2,1,3,7,1,,1,3,,2,6,1,1,,2,3,2,1,2,,7,1,,2,1,2,2,2,,2,1,2,5,6,1,3,,1,,2,1,8,,2,2,
arw,,,,,,1,,,1,1,,,,,,,,,6,2,1,,1,,,,,,,,1,,,,,2,1,,,,1,,,1,2,,2,1,2,,,,6,,,,,,2,,,,,,
grk,2,2,3,2,3,2,3,3,2,2,3,3,2,2,2,4,1,2,,4,1,3,1,1,,1,3,1,2,3,1,1,3,1,6,2,1,2,1,5,1,1,1,1,1,3,2,2,2,1,2,3,7,,1,1,3,3,3,1,8,1,5,2,
scr,,2,,2,,2,,,2,3,,,,,,,,,,4,1,,,1,,,3,,,,1,,,,6,5,1,,,,1,,,1,,,2,1,2,1,,5,7,,,,,,,,,1,5,,
new,,,,,,1,,,1,1,,,,,2,,1,,,4,2,,2,,,,,,,,1,1,,,,2,1,,,,5,,1,1,2,,2,,8,,,,,3,1,,,,,,,,,,
hcr,,1,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,
lux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,
pan,2,,2,,,1,,3,1,1,,,,1,2,,,,,,1,,7,,,1,,1,,,1,,3,2,6,2,1,,2,,1,,,1,2,2,2,2,2,,,2,,,,,,,1,1,8,3,,,
lge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,
krd,,,,,,2,,,1,2,,,,,,,1,,,2,1,2,1,,,,,,,6,2,1,,,,4,9,,,2,1,,1,6,2,,3,,2,,3,,,,2,,2,,,,,,,2,
que,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bug,,,,,,,,,2,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,1,,,2,2,,,,,,,,,,,,,,,,,1,,,
itn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gae,2,2,2,1,,2,,3,2,2,,,,,,4,,,1,,1,,1,1,,,,,,,2,,,,,4,5,,,,1,4,,2,1,,3,2,6,,,,6,,,3,,,3,,8,,1,,
aeg,2,2,2,2,2,2,1,3,2,2,3,3,2,,2,,1,5,1,2,3,3,1,1,,1,4,1,1,1,2,1,,2,1,4,9,1,,1,1,4,1,2,2,6,3,,6,1,3,1,6,1,4,3,2,5,1,1,8,2,1,2,
ykt,1,2,1,2,,1,,1,1,1,,,,,2,,1,,,2,,2,2,2,,,,,,,1,1,,2,,2,1,,,4,,,1,1,,,2,,2,,,,6,,1,,,,,,,1,1,,
nhh,,,,,,2,,,2,2,,,,,,,,,,1,1,,1,,,,,,,,2,,,,,2,,,,,1,,,1,1,,4,,2,,,,,,,,,,,,,,,,
nhn,,,,,,,,,2,,,,2,,,,1,,,1,1,3,7,,,,,,,,3,1,,,,2,,,,2,,,1,1,1,,,,2,,,,,,1,,,,,,,,,,
snh,,2,,1,,1,,,1,,,,,1,,,1,,,,3,,1,1,,,,,,,1,1,,2,2,2,1,,,,5,,1,,,,,1,,,,5,6,1,1,,,,,,,,1,,
gba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
sou,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,7,,,,,,,,,,,,
dli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ilo,,1,,1,,2,,,2,,,,,,,4,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,1,1,,,1,,,,1,,,,,,,1,,,2,,,
fno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
bkl,,,,,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,3,,,,,4,9,,,,1,,,,2,,1,2,7,,,,,,,,,,1,,,,,,
mah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,1,,,
kzy,,2,,2,,1,,,2,1,,,,,,,1,,1,,1,,,,,,,,,,1,1,,,,,1,,,,5,,1,,,,,,,,,,7,1,1,,,,,,,1,,,
mme,,2,,2,,1,,,1,1,,,,,2,,1,,,2,,,,,,,,,,,1,,,,,2,1,,,,,,1,,,2,2,,2,,,,,,1,,,,3,,,1,,,
dhi,,,,,,,,,,1,,,,,,,,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
vep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
wuc,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,
fea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,
grp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
grn,,3,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,
srl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
nsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naa,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naj,,,,,,2,,,1,2,,,,,,,,,5,2,1,,1,,5,,,,,,2,,,,,4,7,,,,1,,,1,2,,2,,2,,,,,1,,,,,,,,,,,
nap,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,
grw,1,3,1,1,3,1,2,1,1,1,3,3,2,1,2,1,1,2,4,2,2,2,1,2,,4,4,1,1,6,2,1,3,2,6,2,1,4,3,,,4,1,6,2,7,2,,2,1,3,7,7,,4,4,2,3,3,2,3,1,5,2,
moe,,2,,2,,1,,,2,,,,,,,,,,,2,,,,1,,,,,,,1,,,,2,2,1,,,7,,,,,,,2,,2,,,8,,1,,,,,,,,1,2,,
mmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,1,,,
kab,,1,,1,,1,,,1,1,,,,,1,,1,,,,,3,2,,,,,3,,,,1,,,,4,1,,,7,,,3,1,2,,4,,2,,,,,,4,,,,,,,,,,
cvc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
ttd,,,,,,2,,,2,1,,,,,,,,,,4,2,,1,,,,,,,,2,,,,,,,,,,,,,2,,,,,7,,,,,,,,,,,,,,,,
but,,2,,2,,1,,,1,1,,,,,1,,,,,2,1,2,,,,2,,,,,1,,,2,,2,1,,,4,,,,1,,2,2,2,2,,,,,1,,,,,,1,,1,,,
stn,,,,,,,,,2,2,,,,,,2,,,,,,,,,,,,,,,,,,,,4,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,
zhn,,,,,,2,,,2,,,,,,,,,,,4,1,,1,,,,,,,,,,,,,5,9,,,,5,,,,2,,1,,9,,,,,,,,,,2,,,,,,
mol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inr,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ins,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
iql,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,,,,,,,,,,,,,,,
owc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,,,,,,,,,,,,
orb,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,,,,,,,,,,,
orh,2,3,2,2,2,1,2,3,1,2,3,3,2,2,2,,1,1,3,4,2,3,1,1,,1,1,1,2,3,2,3,3,2,4,2,1,3,1,,1,4,5,2,2,2,2,,9,1,2,6,6,1,1,4,1,5,1,1,8,2,5,2,
orw,,,,,,1,,,1,2,,,,,,,,,4,,2,,1,,,,,,,,2,,,2,,2,1,,,,,,,2,2,,,,9,,,,,,,,,,,,,,,,
rnd,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
cea,,,,,,1,,,2,,,,,,,,,,6,,,,,,,,,,1,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
fua,,,,,,2,,,2,2,,,,,,,,,1,,2,,1,,,,,,,,2,,,,,2,7,,,,1,,,2,,,3,,2,,,,,,,,,,,,,,,,
fus,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fni,,1,,1,,2,,,2,,,,,,,,,,,2,2,,1,2,,,,,,2,2,,3,,1,2,7,,1,,1,,,,1,7,3,,,,2,1,6,,,,3,,,,,,3,2,
qaf,2,,2,,,1,,3,1,1,,,,,,,,,,4,1,,2,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,
crk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,
